ticker,side,transactionDate,disclosureDate,lagDays,amountRange,amountMid,person,chamber,member_key,link
WFC,buy,2026-09-01,2026-09-21,20,"$15,001 - $50,000",32501,Mitch McConnell,senate,senate:mitch mcconnell,https://efdsearch.senate.gov/search/view/ptr/028aef33-dc0d-44a1-992f-aa35ee42685b/
ABBV,sell,2026-09-14,2026-09-21,7,"$15,001 - $50,000",32501,Pete Sessions,house,house:pete sessions,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20035480.pdf
GOOGL,sell,2026-09-14,2026-09-21,7,"$15,001 - $50,000",32501,Pete Sessions,house,house:pete sessions,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20035480.pdf
JPM,sell,2026-08-20,2026-09-18,29,"$1,001 - $15,000",8001,Scott Mr Franklin,house,house:scott franklin,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20035450.pdf
JPM,sell,2026-08-20,2026-09-18,29,"$1,001 - $15,000",8001,Scott Franklin,house,house:scott franklin,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20035450.pdf
JPM,sell,2026-08-20,2026-09-18,29,"$1,001 - $15,000",8001,Scott Mr Franklin,house,house:scott franklin,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20035450.pdf
JPM,sell,2026-08-20,2026-09-18,29,"$1,001 - $15,000",8001,Scott Mr Franklin,house,house:scott franklin,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20035450.pdf
PEP,buy,2026-08-26,2026-09-18,23,"$1,001 - $15,000",8001,Scott Mr Franklin,house,house:scott franklin,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20035450.pdf
PEP,buy,2026-08-26,2026-09-18,23,"$1,001 - $15,000",8001,Scott Franklin,house,house:scott franklin,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20035450.pdf
PEP,buy,2026-08-26,2026-09-18,23,"$1,001 - $15,000",8001,Scott Franklin,house,house:scott franklin,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20035450.pdf
PEP,buy,2026-08-26,2026-09-18,23,"$1,001 - $15,000",8001,Scott Mr Franklin,house,house:scott franklin,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20035450.pdf
MCD,buy,2026-08-26,2026-09-18,23,"$1,001 - $15,000",8001,Scott Franklin,house,house:scott franklin,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20035450.pdf
