date,symbol,short_volume,short_exempt_volume,total_volume,short_ratio_pct
2026-08-26,AAPL,6397822,44172,12340730,51.84
2026-08-26,ADBE,808824,1359,1123050,72.02
2026-08-26,AMC,2188816,2962,10801610,20.26
2026-08-26,AMD,3901721,9009,6868953,56.8
2026-08-26,AMZN,2504655,28782,8516711,29.41
2026-08-26,ARM,765352,426,2097440,36.49
2026-08-26,AVGO,1595963,16337,9221848,17.31
2026-08-26,BA,1135515,4,2057440,55.19
2026-08-26,BAC,2528726,37601,6274850,40.3
2026-08-26,COIN,1468952,2330,2942307,49.93
2026-08-26,COST,176419,36,402042,43.88
2026-08-26,CRM,1422246,11754,3771376,37.71
2026-08-26,CVX,581486,5721,1854728,31.35
2026-08-26,DIA,380245,23,752287,50.55
2026-08-26,DIS,736094,4162,1732310,42.49
2026-08-26,GME,1353632,1009,2435845,55.57
2026-08-26,GOOGL,3464004,8948,7259448,47.72
2026-08-26,GS,214377,412,422645,50.72
2026-08-26,HOOD,2880946,8960,5948328,48.43
2026-08-26,INTC,13233065,46650,32654138,40.52
2026-08-26,IWM,2104879,1980,3669569,57.36
2026-08-26,JPM,668960,6128,1746143,38.31
2026-08-26,LLY,506490,968,1231660,41.12
2026-08-26,META,6185831,21359,14067188,43.97
2026-08-26,MPC,414359,431,660887,62.7
2026-08-26,MSFT,2752742,9657,5913428,46.55
2026-08-26,MSTR,2677159,17356,7387794,36.24
2026-08-26,MU,3536475,24531,8505152,41.58
2026-08-26,NFLX,4216272,33163,9073090,46.47
2026-08-26,NKE,9778738,3878,19185262,50.97
2026-08-26,NVDA,22256334,137507,56367410,39.48
2026-08-26,ORCL,2708184,5028,8028641,33.73
2026-08-26,PLTR,7526209,115436,11821152,63.67
2026-08-26,PSX,494929,9,878415,56.34
2026-08-26,PYPL,944210,14984,2727942,34.61
2026-08-26,QQQ,2929051,8945,6249565,46.87
2026-08-26,RIVN,4088882,20731,9938175,41.14
2026-08-26,SHOP,1465001,1345,2491159,58.81
2026-08-26,SMCI,5664602,31378,13717651,41.29
2026-08-26,SOFI,7696950,11348,20070432,38.35
2026-08-26,SPY,5016968,6997,9424608,53.23
2026-08-26,TSLA,7410940,12197,14183003,52.25
2026-08-26,TSM,1259527,2744,2948927,42.71
2026-08-26,UBER,2619189,3937,5682597,46.09
2026-08-26,UNH,591895,2631,1201759,49.25
2026-08-26,V,677985,1359,1528838,44.35
2026-08-26,VLO,470518,343,803272,58.58
2026-08-26,WMT,4561870,62310,10633053,42.9
2026-08-26,XOM,1570049,4702,4260052,36.86
2026-08-27,AAPL,5816998,25276,10250219,56.75
2026-08-27,ADBE,1493131,9075,2820711,52.93
2026-08-27,AMC,2921705,16234,10825561,26.99
2026-08-27,AMD,5088994,63536,7738340,65.76
2026-08-27,AMZN,4216535,11011,14924505,28.25
2026-08-27,ARM,1342145,1663,2280423,58.86
2026-08-27,AVGO,1803058,3651,7328384,24.6
2026-08-27,BA,1092282,27064,2116312,51.61
2026-08-27,BAC,3293143,46304,13674333,24.08
2026-08-27,COIN,1865561,6067,4349827,42.89
2026-08-27,COST,347751,64,686598,50.65
2026-08-27,CRM,11794345,91908,26561660,44.4
2026-08-27,CVX,510154,1270,1980179,25.76
2026-08-27,DIA,554312,254,911112,60.84
2026-08-27,DIS,914871,11691,2767915,33.05
2026-08-27,GME,2108467,18985,3781476,55.76
2026-08-27,GOOGL,4013637,3900,7798249,51.47
2026-08-27,GS,131880,201,293947,44.87
2026-08-27,HOOD,3146482,27261,6125512,51.37
2026-08-27,INTC,17379065,111629,42676646,40.72
2026-08-27,IWM,3552410,2155,5089101,69.8
2026-08-27,JPM,629571,10845,1704003,36.95
2026-08-27,LLY,407314,175,893044,45.61
2026-08-27,META,2229639,20945,6928073,32.18
2026-08-27,MPC,509769,1107,760077,67.07
2026-08-27,MSFT,3570836,9496,8826020,40.46
2026-08-27,MSTR,7285656,19634,18507458,39.37
2026-08-27,MU,5592777,25746,13997249,39.96
2026-08-27,NFLX,6218758,38418,10174625,61.12
2026-08-27,NKE,7904175,13511,18753077,42.15
2026-08-27,NVDA,37949666,442713,116584592,32.55
2026-08-27,ORCL,3035362,14237,10037547,30.24
2026-08-27,PLTR,11089877,67147,16968018,65.36
2026-08-27,PSX,349123,302,677122,51.56
2026-08-27,PYPL,805813,8534,1930150,41.75
2026-08-27,QQQ,4612758,15798,10211633,45.17
2026-08-27,RIVN,3180553,218936,7630913,41.68
2026-08-27,SHOP,1034644,1273,1994993,51.86
2026-08-27,SMCI,9042172,44196,20256566,44.64
2026-08-27,SOFI,8417747,46476,21765743,38.67
2026-08-27,SPY,7060343,7530,13177648,53.58
2026-08-27,TSLA,8610410,27426,16078274,53.55
2026-08-27,TSM,2908789,2145,6278523,46.33
2026-08-27,UBER,2538235,21063,6432826,39.46
2026-08-27,UNH,485758,230,1247900,38.93
2026-08-27,V,697142,2366,1692738,41.18
2026-08-27,VLO,482777,189,771696,62.56
2026-08-27,WMT,6090982,46362,11050271,55.12
2026-08-27,XOM,1579920,11740,4368658,36.16
2026-08-28,AAPL,7285857,25670,13438050,54.22
2026-08-28,ADBE,980147,7143,1537100,63.77
2026-08-28,AMC,4330221,10721,13320036,32.51
2026-08-28,AMD,3979177,6750,6656358,59.78
2026-08-28,AMZN,6275500,34444,21431371,29.28
2026-08-28,ARM,975600,2092,1693900,57.59
2026-08-28,AVGO,2374539,11336,6448124,36.83
2026-08-28,BA,1104098,40,2186894,50.49
2026-08-28,BAC,4853104,15882,11008310,44.09
2026-08-28,COIN,2241401,8611,4504761,49.76
2026-08-28,COST,183857,1225,542038,33.92
2026-08-28,CRM,6933335,225149,15466195,44.83
2026-08-28,CVX,573970,278,1769352,32.44
2026-08-28,DIA,548620,1746,1089099,50.37
2026-08-28,DIS,643369,6101,2059706,31.24
